,accuracy,formatted_address,google_place_id,input_string,latitude,longitude,number_of_results,postcode,status,type
18,GEOMETRIC_CENTER,"Jalan Sentul Pasar, Sentul, 51000 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",ChIJk4PkAZJLzDER7Sba94TSaX8,M CENTURA @ JALAN SENTUL PASAR,3.2037767,101.6898477,2,51000,OK,"establishment,point_of_interest"
19,GEOMETRIC_CENTER,"Jalan Gombak, Kampung Kuantan, 53100 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",ChIJER9zWE9HzDERc_wWeuJDFOY,KENWINGSTON PLATZ @ JALAN GOMBAK,3.2003212,101.7037419,1,53100,OK,"establishment,general_contractor,point_of_interest"
20,ROOFTOP,"No. 21, Jalan Pantai Baharu, Bangsar South, 59100 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",ChIJryU-hYZJzDERPcD60sX3UH0,NOVUM @ SOUTH BANGSAR ,3.1142057,101.6662433,1,59100,OK,"establishment,point_of_interest"
21,ROOFTOP,"5230 Dundas St, Burlington, ON L7L 0J5, Canada",ChIJ3eeMqMxmK4gRiE6zHVK5OSc,The Link 2,43.4121122,-79.80049819999999,1,L7L 0J5,OK,"establishment,point_of_interest"
22,GEOMETRIC_CENTER,"Jalan 1/48a, Bandar Baru Sentul, 51000 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",ChIJqzQpMGlKzDERZsEB-wsXWzA,"SKYMERIDIEN @ SKYCITY, SENTUL EAST",3.1885997,101.6954478,1,51000,OK,"establishment,point_of_interest"
23,GEOMETRIC_CENTER,"Lot 80663 & 80664, Jln Segambut Dalam, Mont Kiara, 50480 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",ChIJtQHRee1IzDERt9XZiWzInD8,TRINITY PENTAMONT @ MONT KIARA,3.1694077,101.6492388,2,50480,OK,"establishment,point_of_interest"
24,ROOFTOP,"Jalan Klang Lama, No. 2, Jalan 1/13a, Kampung Pasir, 58000 Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia",ChIJ71vwtLJLzDERBn2E2ROSpt8,NEST 2 @ OLD KLANG ROAD,3.0839122,101.6612269,1,58000,OK,"establishment,point_of_interest"
25,GEOMETRIC_CENTER,"No 2, Persiaran Aman Perdana 3, Bandar Tropicana Aman, 42500 Telok Panglima Garang, Selangor Darul Ehsan, Selangor, Malaysia",ChIJl9vkBiCyzTERGcev7Lg52Lg,TROPICANA AMAN | BAYAN | CHERIA | DALIA ,2.9514414,101.5459976,1,,OK,"establishment,point_of_interest"
26,ROOFTOP,"Verve Suite KL South, No. 355, Jalan Klang Lama, 58200 Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia",ChIJPRc_kkdKzDERb6XfzscMt48,VERVE® SUITES @ KL SOUTH ,3.0917761,101.6742699,1,58200,OK,"establishment,point_of_interest,real_estate_agency"
27,GEOMETRIC_CENTER,"Jalan Wangsa Melawati 1 Taman Wangsa Melawati, Wangsa Melawati, 53300 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",ChIJYSZ2_-o5zDER4C5thdTxPj0,M ADORA @ WANGSA MELAWATI,3.2043055,101.7459576,1,53300,OK,"establishment,general_contractor,point_of_interest"
28,GEOMETRIC_CENTER,"Lorong Maarof, Bangsar, 59000 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",ChIJDTUreyJJzDERBsx6OVUWg7s,BANGSAR HILLPARK,3.1303242,101.6759716,1,59000,OK,"establishment,lodging,point_of_interest"
29,APPROXIMATE,"Bandar Rimbayu, 41200, Selangor, Malaysia",ChIJh1CwReuxzTER4bKkAXvzuDU,"Bandar Rimbayu V5, The Township Nature Perfected",2.9410913,101.5466887,1,41200,OK,"political,sublocality,sublocality_level_1"
30,GEOMETRIC_CENTER,"Maluri, 55100 Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia",ChIJs8Qs7RQ2zDERhGBa4v8Rink,LAVILE KUALA LUMPUR,3.1266252,101.7289817,1,55100,OK,"establishment,general_contractor,point_of_interest"
31,GEOMETRIC_CENTER,"Solaris Dutamas, 50480 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",ChIJlZTI1UBJzDERNwS8vbsqT0w,Alix Residences in Dutamas,3.1704614,101.6673651,2,50480,OK,"establishment,general_contractor,point_of_interest"
32,ROOFTOP,"5, Jalan 3/27E, Seksyen 10 Wangsa Maju, 53300 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",ChIJn8Z12XU3zDERTKsD0PiRj-A,IRAMA WANGSA ,3.1895359,101.737206,1,53300,OK,"establishment,lodging,point_of_interest"
33,GEOMETRIC_CENTER,"1, Jalan Ipoh- KM20, Taman Rekreasi Templar, Templer Park, 48000 Rawang, Selangor, Malaysia",ChIJc_K6nBNBzDER69uKpYSOwAk,SETIA ECO TEMPLER | CARSON CREEK,3.3010428,101.6416892,1,48000,OK,"establishment,general_contractor,point_of_interest"
34,GEOMETRIC_CENTER,"Lebuh Puteri, Bandar Puteri, 47100 Puchong, Selangor, Malaysia",ChIJuQKrrTy1zTER9eCMHvexBwU,THE CRUISE @ BANDAR PUTERI PUCHONG ,3.0235016,101.6233147,1,47100,OK,"establishment,lodging,point_of_interest"
35,GEOMETRIC_CENTER,"Jalan Cheras, Taman Pertama, 56000 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",ChIJ1UmdGME3zDERY2Wv9NcT4mM,M VERTICA @ JALAN CHERAS,3.1205082,101.7280399,1,56000,OK,"establishment,point_of_interest,real_estate_agency"
36,GEOMETRIC_CENTER,"Unit 21-06, Level 21, Tower B, Jalan Kerinchi, Bangsar South, 59200 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",ChIJQRm_NypKzDERRb5HhHP6QYU,Cubic Botanica @bangsar south,3.1109717,101.6661712,1,59200,OK,"establishment,point_of_interest"
37,GEOMETRIC_CENTER,"Emporis, Persiaran Surian, Kota Damansara, 47810 Petaling Jaya, Selangor, Malaysia",ChIJ71m8swBPzDERDgqIVNFJwkM,EMPORIS @ KOTA DAMANSARA ,3.1571974,101.5723914,1,47810,OK,"establishment,lodging,point_of_interest,shopping_mall"
38,ROOFTOP,"PUNCAK SENTUL, NO.8, Jalan Sentul Perdana, Sentul, 51000 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",ChIJ-cX4yehHzDERDpIpr87lKhk,SENTUL VILLAGE | SENTUL POINT  ,3.2020313,101.6893882,1,51000,OK,"establishment,point_of_interest"
39,GEOMETRIC_CENTER,"Jalan Kuang Bertam 6, Taman Kepong, Mukim Batu, 51200 Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia",ChIJWy2CtT9GzDERJWFDSiNMqJ4,TRINITY LEMANJA @ KEPONG,3.2097379,101.6388741,1,51200,OK,"establishment,point_of_interest"
40,ROOFTOP,"4, Jalan 9/118B, Desa Tun Razak, 56000 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",ChIJ6Vw_HIU1zDERm99HjSHGbeU,THE HAMSTEAD @ DESA TUN RAZAK | RESIDENSI TASIKMAS,3.0803554,101.7157266,2,56000,OK,"establishment,point_of_interest"
41,GEOMETRIC_CENTER,"Taman Seputeh, 58000 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",ChIJ4QCB84FJzDERFuvVbAnLsMQ,EST8 @ SEPUTEH,3.115927,101.6802996,1,58000,OK,"establishment,general_contractor,point_of_interest"
42,ROOFTOP,"No 137, Jalan Puchong, 58200 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",ChIJYXSAvDxLzDERQfLNEznnKPo,"BLOOMSVALE RESIDENCES @ KL SOUTH, OLD KLANG ROAD",3.0753628,101.6607407,1,58200,OK,"establishment,general_contractor,point_of_interest"
43,GEOMETRIC_CENTER,"Dutamas, 50480 Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia",ChIJ9auUJmBIzDERB2KtPrbc5Dw,AGILE MONT KIARA KUALA LUMPUR,3.1731807,101.6615612,1,50480,OK,"establishment,point_of_interest"
44,GEOMETRIC_CENTER,"40160 Sungai Buloh, Selangor, Malaysia",ChIJBThhMpRazDERAfhnA0iMKws,ELMINA GREEN 3 BY SIME DARBY,3.2085648,101.4990375,1,40160,OK,"establishment,general_contractor,point_of_interest"
45,ROOFTOP,"Wisma Galian 5-7, Jalan Awan Hijau, Batu 5, Jalan Klang Lama, Taman Overseas Union, 58200 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",ChIJ0Ub5OTRLzDERxt8KAuEr-mw,TAMAN PUCHONG LEGENDA by HUGES DEVELOPMENT,3.0824285,101.6696977,1,58200,OK,"establishment,general_contractor,point_of_interest"
46,ROOFTOP,"2-1, Level, Commercial Centre, 2, Jalan Sinar Sentul, Sentul, 51100 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",ChIJJ4OHD3dJzDER906ElGkiZcY,"RESIDENSI VISTA SENTUL, OFF JALAN SENTUL",3.1892773,101.6905969,1,51100,OK,"establishment,general_contractor,point_of_interest"
47,ROOFTOP,"801 Harrisburg Pike suite d, Columbus, OH 43223, USA",ChIJ_81yNk2POIgR976RUvNgbhg,The Annex,39.9406514,-83.04041699999999,1,43223,OK,"establishment,point_of_interest"
48,GEOMETRIC_CENTER,"51200 Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia",ChIJ69PY7RhJzDERYgx8A3DXeq8,"DUTA PARK RESIDENCES, JALAN KUCHING",3.1699973,101.6858755,1,51200,OK,"establishment,point_of_interest"
49,,,,D'VERVAIN RESIDENCES @ CENTRAL PARK DAMANSARA,,,0,,ZERO_RESULTS,
50,GEOMETRIC_CENTER,"Kawasan Perusahaan Kepong, 52100 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",ChIJ1zWBZ7NHzDERzoDfVHLfyyk,THREE33 RESIDENCE @ KEPONG BARU ,3.206502,101.6485531,1,52100,OK,"establishment,lodging,point_of_interest"
51,GEOMETRIC_CENTER,"Pekeliling, 53000 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",ChIJS-1snQRIzDER5P-i8n7PnBM,KL RIVER CITY | EKOTITIWANGSA | EKORIVER CENTRE,3.1826886,101.7010554,1,53000,OK,"establishment,general_contractor,point_of_interest"
52,ROOFTOP,"The Nest Residences, No. 8, Jalan A, off, Jalan Puchong, Taman Lucky, 58200 Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia",ChIJfZQ8Fx1LzDERdw1JPo2R8ZQ,Nest 2 residence OKR jalan Puchong,3.0739179,101.661094,1,58200,OK,"establishment,lodging,point_of_interest"
53,ROOFTOP,"326, Jalan Ampang, Kampung Berembang, 55000 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",ChIJkx9S3Kg3zDERRW_J2YRIl6s,"M CITY, JALAN AMPANG ",3.1588378,101.7479113,1,55000,OK,"convenience_store,establishment,food,point_of_interest,store"
54,ROOFTOP,"27-1, Jalan Raja Muda Musa, Kampung Baru, 50300 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",ChIJ149mjydIzDERZn-nm1qr-3k,LEGASI RESIDEN @ KAMPONG BHARU,3.1629232,101.7060749,1,50300,OK,"establishment,general_contractor,point_of_interest"
55,GEOMETRIC_CENTER,"Jalan Sierra 10/1, Bandar 16 Sierra, 47120 Puchong, Selangor, Malaysia",ChIJGdTmcDa0zTERnP97mPX5snY,LA THEA RESIDENCES @ 16 SIERRA ,2.9735666,101.6552865,1,47120,OK,"establishment,point_of_interest"
56,APPROXIMATE,"Cyberjaya, Selangor, Malaysia",ChIJ45NqN-62zTERzrxIC_u7HiQ,Cyberjaya terrace / superlink,2.921318,101.6559349,1,,OK,"locality,political"
57,GEOMETRIC_CENTER,"Bukit Tandang, Puchong Jaya, 47190, Jalan Pipit, Bandar Puchong Jaya, 47100 Puchong, Selangor, Malaysia",ChIJL98K8XhLzDERmuK00dis3f8,"TWINZ RESIDENCES @ JALAN PIPIT, PUCHONG ",3.0711155,101.6238631,1,47100,OK,"establishment,point_of_interest"
58,GEOMETRIC_CENTER,"Jalan Damanlela, Pusat Bandar Damansara, 50490 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",ChIJTYNQiKlJzDERfLsxWWHHoIU,PAVILION DAMANSARA HEIGHTS,3.146025,101.6633501,2,50490,OK,"establishment,general_contractor,point_of_interest"
59,ROOFTOP,"Setia Sky Seputeh Sales Galleria, No. 1, Jalan Taman Seputeh 1, Taman Seputeh, 58000 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",ChIJrXmhq41JzDERdK4kuoqKqYo,SETIA SKY SEPUTEH,3.1198189,101.6808204,1,58000,OK,"establishment,general_contractor,point_of_interest"
60,ROOFTOP,"PT 8, Persiaran Setia Alam, Setia Alam, 40170 Shah Alam, Selangor, Malaysia",ChIJZclYY8tTzDERkCWPifsvDM8,"ECO ARDENCE, SETIA ALAM ",3.095742,101.4817496,2,40170,OK,"establishment,general_contractor,point_of_interest"
61,GEOMETRIC_CENTER,"D-19-G, Jalan Atmosphere 7, 43400 Seri Kembangan, Selangor, Malaysia",ChIJ9dWkwRi1zTERwCsX4Up6xM8,META CITY @ PUCHONG SOUTH,2.9827291,101.6607908,2,43400,OK,"establishment,general_contractor,point_of_interest"
62,GEOMETRIC_CENTER,"Persiaran Semarak Api, Cyberjaya, 63000 Cyberjaya, Selangor, Malaysia",ChIJvfd4uca2zTERXDEtxsHeasQ,LAKEFRONT CYBERJAYA | PR1MA LAKEFRONT CYBERJAYA,2.9338079,101.6325214,2,63000,OK,"establishment,point_of_interest"
63,ROOFTOP,"No.3, Lorong Ampang 1, Kampung Berembang, 55000 Kuala Lumpur, Selangor, Malaysia",ChIJwcMar6i1zTERRSqG9bWB9lE,ARTE+ @ AMPANG ,3.1619424,101.7477823,1,55000,OK,"establishment,lodging,point_of_interest"
64,GEOMETRIC_CENTER,"Taman Lian Hoe, 58100 Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia",ChIJyZK1VUdKzDER0TXVTff-Q5Q,GEN KL @ KUCHAI LAMA ,3.0925491,101.6785057,1,58100,OK,"establishment,point_of_interest"
65,GEOMETRIC_CENTER,"T5-G-S1, Menara 5, Lingkaran Maju, Jalan Lingkaran Tengah 2, Bandar Tasik Selatan, 57000 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",ChIJvbqKMZ5KzDERx-eXatdUPCI,MAJU KUALA LUMPUR,3.0557998,101.7060258,1,57000,OK,"establishment,point_of_interest"
66,GEOMETRIC_CENTER,"Jalan Seri Wangsa 1, Taman Sri Rampai, 53300 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",ChIJV4P7sGw5zDERSZKmC1PmpDU,SUNWAY AVILA @ WANGSA MAJU ,3.1927241,101.735587,1,53300,OK,"establishment,general_contractor,point_of_interest"
67,GEOMETRIC_CENTER,"Jalan Ipoh Kecil, Chow Kit, 50350 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",ChIJNVhITSNIzDERdRlpBNmTSoo,CHAMBERS RESIDENCE KUALA LUMPUR,3.16722,101.6955601,1,50350,OK,"establishment,general_contractor,point_of_interest"
68,ROOFTOP,"8, Jalan 1/149l, Sri Petaling, 57000 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",ChIJlSU9pkpLzDERsiVzHlj6gXI,RESIDENSI RIMBUNAN @ SRI PETALING  ,3.0659732,101.6826176,1,57000,OK,"establishment,point_of_interest"
69,GEOMETRIC_CENTER,"Southville City, Taman Teknology Mint, 43000 Bangi, Selangor, Malaysia",ChIJwcMar6i1zTER30gpiF7oypU,SOUTHVILLE CITY | CERRADO RESIDENTIAL SUITES ,2.907904,101.759732,1,43000,OK,"establishment,point_of_interest"
70,GEOMETRIC_CENTER,"Jalan Yap Kwan Seng, Kampung Baru, 50450 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",ChIJVyeeQ9o3zDERdzJplnQZpd8,CEYLONZ SUITES @ BUKIT CEYLON ,3.162572,101.71448,2,50450,OK,"establishment,general_contractor,point_of_interest"
71,ROOFTOP,"KL542, Kampung Segambut Dalam, 51200 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",ChIJtXx6xyFJzDERVFnIGpVAe6c,ARDENA MONT'KIARA,3.1723368,101.6506057,1,51200,OK,"establishment,lodging,point_of_interest"
72,,,,Rumahwip project with no refuse chamber,,,0,,ZERO_RESULTS,
73,GEOMETRIC_CENTER,"Jalan Sierra 10/1, Bandar 16 Sierra, 47100 Puchong, Selangor, Malaysia",ChIJgzfm2zW0zTERW142AFQuhuo,Zentro Residence 16 Sierra,2.9738747,101.659442,1,47100,OK,"establishment,lodging,point_of_interest"
74,GEOMETRIC_CENTER,"Mutiara Bukit Jalil, 47180 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",ChIJIZ8z0B1LzDERN4pyd_q9_U4,THE COMO @ BUKIT JALIL,3.0590245,101.6589937,1,47180,OK,"establishment,general_contractor,point_of_interest"
75,ROOFTOP,"162, Jalan Sungai Besi, Chan Sow Lin, 57100 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",ChIJSzY6Hhw2zDERm8V307M2aZ0,"TRION KUALA LUMPUR, JALAN SUNGAI BESI",3.12664,101.7113309,1,57100,OK,"establishment,point_of_interest"
76,GEOMETRIC_CENTER,"Jalan Semerah Padi, Taman Pertama, 55300 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",ChIJY8Ke3dg1zDERsrkc4RWMlfU,"JALAN SEMERAH PADI, CHERAS by WEIDA",3.1086657,101.7357616,1,55300,OK,route
77,ROOFTOP,"Off, Jalan Prima Tropika, Puchong South, 43400 Puchong, Selangor, Malaysia",ChIJwcMar6i1zTER3vkYm6Dbe1o,SFERA RESIDENCY @ PUCHONG SOUTH ,2.9827421,101.6636446,1,43400,OK,"establishment,point_of_interest"
78,GEOMETRIC_CENTER,"Persiaran Sepang, Cyberjaya, 63000 Cyberjaya, Selangor, Malaysia",ChIJt6XUIJy3zTERsIdC_zR_Aag,"The Mulia Residences, Cyberjaya",2.9053456,101.6367437,1,63000,OK,"establishment,point_of_interest"
79,ROOFTOP,"3, Jalan Selangat, Taman Pertama, 56100 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",ChIJ49zKc7Y1zDERVZ7w3lilZsw,NEXUS RESIDENCES @ TAMAN PERTAMA CHERAS,3.1106937,101.730464,1,56100,OK,"establishment,lodging,point_of_interest"
80,APPROXIMATE,"Cheras, 56000 Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia",ChIJbW_xTuE1zDER_4kA_OZKfv8,THE VELODROME @ JALAN CHERAS,3.1068447,101.7259197,1,56000,OK,"political,sublocality,sublocality_level_1"
81,GEOMETRIC_CENTER,"No 1, Jalan Cochrane, Maluri, 55100 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",ChIJkUZNBz02zDEREyx0HzPeNS0,ONE COCHRANE RESIDENCES ,3.1336756,101.7203028,1,55100,OK,"establishment,general_contractor,point_of_interest"
82,ROOFTOP,"110 - 120 Upper Bukit Timah Rd, Singapore 588173",ChIJrd3Otocb2jERYqX7KXlNaFA,The Linq at Beauty World,1.340807,103.7763793,1,588173,OK,"establishment,general_contractor,point_of_interest"
83,,,,Penrose by CDL and Hong Leong,,,0,,ZERO_RESULTS,
84,GEOMETRIC_CENTER,"Mukim Batu, Jalan Sungai Teba, Mont Kiara, 51200 Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia",ChIJ-3ZMp-FJzDERDKMum_n8sEw,KONDOMINIUM KIARA KASIH @ MONT KIARA ,3.1747951,101.6477804,2,51200,OK,"establishment,point_of_interest"
85,GEOMETRIC_CENTER,"Jalan Klang Lama, Jalan 1/13a, 58200 Wilayah persekutuan, Wilayah Persekutuan Kuala Lumpur, Malaysia",ChIJawEg00dKzDERjvGqf8zDQJc,MILLERZ SQUARE @ OLD KLANG ROAD,3.0907631,101.6736877,2,58200,OK,"establishment,general_contractor,lodging,point_of_interest"
86,GEOMETRIC_CENTER,"Jalan PJU 1a/4f, Ss 7, 47301 Kelana Jaya, Selangor, Malaysia",ChIJkThVbVpNzDER92eWRukY8eI,THE ARCUZ SUITES @ KELANA JAYA,3.1087504,101.5922608,2,47301,OK,"establishment,general_contractor,point_of_interest"
87,ROOFTOP,"Residensi Vogue Suites, 1, 3, Jalan Bangsar, KL Eco City, 59200 Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia",ChIJO-9yt4hJzDERuukpPnX6ulo,KL ECO CITY | VOGUE SUITES ONE | VIIA RESIDENCES,3.1169924,101.6735379,1,59200,OK,"establishment,point_of_interest"
88,GEOMETRIC_CENTER,"No 2, Persiaran Aman Perdana 3, Bandar Tropicana Aman, 42500 Telok Panglima Garang, Selangor Darul Ehsan, Selangor, Malaysia",ChIJl9vkBiCyzTERGcev7Lg52Lg,AMAN 1 APARTMENTS | TROPICANA URBAN HOMES,2.9514414,101.5459976,1,,OK,"establishment,point_of_interest"
89,GEOMETRIC_CENTER,"Jalan Solaris, Solaris Mont Kiara, 50480 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",ChIJAy0YpI1IzDERJGAvOn5kHUg,TWY DUPLEX CONDOS @ MONT'KIARA,3.174465,101.651769,1,50480,OK,"establishment,general_contractor,point_of_interest"
90,GEOMETRIC_CENTER,"You Vista, VG-01 & VG-02, Jalan Persiaran You City, Taman Suntex, 43200 Cheras, Selangor, Malaysia",ChIJy_o-_1c0zDERbUm5zFxiPJE,EMERALD 9 @ CHERAS | AUDREY BRUCE COCO DYLAN,3.0739465,101.7628175,2,43200,OK,"establishment,general_contractor,point_of_interest"
91,ROOFTOP,"Lot 33545, Batu, 5, Jalan Klang Lama, Bedford Business Park, 58000 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",ChIJDR3-CUZKzDERzk4hIZBdRak,THE HARMONY @ OLD KLANG ROAD | ASET KAYAMAS,3.0877822,101.6737237,1,58000,OK,"establishment,general_contractor,point_of_interest"
