thread_name,username,post_content,posted_at
Elmina by Sime Darby v2,elmond,"semi-D is comingMBSA/OSC/S/SEK.U16/0168/2015 : CADANGAN MEMBINA 80 UNIT RUMAH BERKEMBAR 2 TINGKAT DAN 1 UNIT PENCAWANG ELEKTRIK DI NO.2, JALAN FREKUENSI U16/135 SERTA 5 UNIT WAKAF DI ATAS LOT DI ATAS SEBAHAGIAN LOT 360, FASA G6 ELMINA, SEKSYEN U16, 40160 SHAH ALAM, SELANGOR UNTUK TETUAN SIME DARBY ELMINA DEVELOPMENT SDN BHD oleh TETUAN SIME DARBY ELMINA DEVELOPMENT SDN BHD di Majlis Bandaraya Shah Alam","Nov 2 2015, 05:09 PM"
Elmina by Sime Darby v2,BRE,"QUOTE(MusicForLife @ Nov 2 2015, 04:25 PM)According to the SA, first phase they will have 300+ units. Walau, 300+ units! Manyak leh! Good for investors looking for landed props!","Nov 2 2015, 05:10 PM"
Elmina by Sime Darby v2,zzzhhhzzz,"QUOTE(elmond @ Nov 2 2015, 04:47 PM)semi-D is comingMBSA/OSC/S/SEK.U16/0168/2015 : CADANGAN MEMBINA 80 UNIT RUMAH BERKEMBAR 2 TINGKAT DAN 1 UNIT PENCAWANG ELEKTRIK DI NO.2, JALAN FREKUENSI U16/135 SERTA 5 UNIT WAKAF DI ATAS LOT DI ATAS SEBAHAGIAN LOT 360, FASA G6 ELMINA, SEKSYEN U16, 40160 SHAH ALAM, SELANGOR UNTUK TETUAN SIME DARBY ELMINA DEVELOPMENT SDN BHD oleh TETUAN SIME DARBY ELMINA DEVELOPMENT SDN BHD di Majlis Bandaraya Shah Alamat what price ?","Nov 2 2015, 05:13 PM"
Elmina by Sime Darby v2,MusicForLife,"QUOTE(elmond @ Nov 2 2015, 04:47 PM)semi-D is comingMBSA/OSC/S/SEK.U16/0168/2015 : CADANGAN MEMBINA 80 UNIT RUMAH BERKEMBAR 2 TINGKAT DAN 1 UNIT PENCAWANG ELEKTRIK DI NO.2, JALAN FREKUENSI U16/135 SERTA 5 UNIT WAKAF DI ATAS LOT DI ATAS SEBAHAGIAN LOT 360, FASA G6 ELMINA, SEKSYEN U16, 40160 SHAH ALAM, SELANGOR UNTUK TETUAN SIME DARBY ELMINA DEVELOPMENT SDN BHD oleh TETUAN SIME DARBY ELMINA DEVELOPMENT SDN BHD di Majlis Bandaraya Shah AlamQUOTE(elmond @ Apr 22 2015, 02:39 PM)https://forum.lowyat.net/index.php?showtopi...post&p=72470779Based on your previous post. Yes there are Semi-D.And may I know where did you get all the info?","Nov 2 2015, 05:15 PM"
Elmina by Sime Darby v2,elmond,"QUOTE(MusicForLife @ Nov 2 2015, 05:09 PM)Based on your previous post. Yes there are Semi-D. no, the chart for elmina west, this one is elmina east which not in the master plan (from the previous elmina east brochure)","Nov 2 2015, 09:08 PM"
Elmina by Sime Darby v2,MusicForLife,"QUOTE(elmond @ Nov 2 2015, 05:10 PM)no, the chart for elmina west, this one is elmina east which not in the master plan (from the previous elmina east brochure)I see, I think SDP is planning to categorize East as premium and west as slightly lower range?","Nov 2 2015, 09:08 PM"
Elmina by Sime Darby v2,elmond,"QUOTE(MusicForLife @ Nov 2 2015, 05:13 PM)I see, I think SDP is planning to categorize East as premium and west as slightly lower range?there have no such thing in selangor, every township development must have low cost, medium low cost, medium cost","Nov 2 2015, 09:19 PM"
Elmina by Sime Darby v2,kheekuan,"QUOTE(zzzhhhzzz @ Nov 2 2015, 05:53 PM)at what price ?Is this proposed to be built at Elmina East or West?","Nov 13 2015, 12:06 PM"
Elmina by Sime Darby v2,kheekuan,"QUOTE(elmond @ Nov 2 2015, 06:15 PM)there have no such thing in selangor, every township development must have low cost, medium low cost, medium costThe same applies to Ara Damansara or Tropicana","Nov 13 2015, 12:18 PM"
Elmina by Sime Darby v2,elmond,"QUOTE(kheekuan @ Nov 2 2015, 09:08 PM)Is this proposed to be built at Elmina East or West?elmina east - elmina gardens phase G6","Nov 13 2015, 12:20 PM"
Elmina by Sime Darby v2,prince_mk,Hi. I m new here.What s d different between Elmina West and East. Budget 720k. Can get?Anymore new phase here?,"Nov 13 2015, 02:35 PM"
Elmina by Sime Darby v2,prince_mk,Heard there will Elmina West launched early next year. Ard 600k+. Yes!!,"Nov 13 2015, 04:12 PM"
Elmina by Sime Darby v2,BRE,"20x60 DSL only bro for 600K+! U think it is worth buying?Buy Greenwoods & Suria Warisan in Sepang la, so much cheaper, land area oso bigger!","Nov 13 2015, 04:40 PM"
Elmina by Sime Darby v2,BRE,"EE & EW separated by Guthrie highway - 1st phase is EE, EW will be launched next year.","Nov 13 2015, 05:37 PM"
Elmina by Sime Darby v2,prince_mk,No choice coz Sepang waa far frm parent's place which is Segambut. I would say Elmina is d nearest township I can afford.Elmina West newly launched is 20 x 60 or 20 x 70? Any insider news?,"Nov 13 2015, 07:21 PM"
Elmina by Sime Darby v2,elmond,both 20x60 & 20x70do check my thread.https://forum.lowyat.net/index.php?showtopi...post&p=74057479https://forum.lowyat.net/index.php?showtopi...post&p=72470779,"Nov 13 2015, 10:29 PM"
Elmina by Sime Darby v2,MusicForLife,SimeDarby FB replied me tentatively February.,"Nov 13 2015, 10:31 PM"
Elmina by Sime Darby v2,prince_mk,"In Feb 2016, SD is launching RT7 ? Is it called Elmina Vale.. and got 7 phases? How to interprate the plan?","Nov 14 2015, 09:16 AM"
Elmina by Sime Darby v2,MusicForLife,I wonder will it be difficult to secure loan as the property is so near to the HTC?,"Nov 14 2015, 01:36 PM"
Elmina by Sime Darby v2,prince_mk,No wonder so cheap!!!,"Nov 14 2015, 01:50 PM"
Elmina by Sime Darby v2,prince_mk,How abt any new phase far away frm HTC and sewerage?Any info on this? Hope u guys can share,"Nov 14 2015, 03:33 PM"
Elmina by Sime Darby v2,prince_mk,"anymore new phase besides that RT7 launched in Feb 2016? coz not suitable as there was big sewerage and HTC. anymore launching in Elmina East or Elmina West next year? Budget is less than 700k. if really no choice, then got to consider Ariza.","Nov 14 2015, 03:42 PM"
Elmina by Sime Darby v2,Kyx,How much is ariza?,"Nov 14 2015, 03:46 PM"
Elmina by Sime Darby v2,buggie,Can still get at RM 730k I believe. Mostly selling at 750k,"Nov 14 2015, 04:19 PM"
Elmina by Sime Darby v2,MusicForLife,"Elmond sifu, can you share the full blueprint? Like what you attached above with RT7 and HTC, sewage","Nov 14 2015, 05:19 PM"
Elmina by Sime Darby v2,cwyan,You better get Ariza due to the it is 20x88 vs 20x60/20x65 and it was a ready unit (u can save some interest).,"Nov 14 2015, 05:27 PM"
Elmina by Sime Darby v2,MusicForLife,"But then have to fork out more money for stamp duty and etc, if we buy undercon got time to save money for renovation some more. Hehe.","Nov 14 2015, 09:33 PM"
Elmina by Sime Darby v2,prince_mk,True true. Actually i m not so desperate to stay. So how? Any new launch that is far away frm HTC and the sewerage,"Nov 14 2015, 10:10 PM"
Elmina by Sime Darby v2,Kyx,"Can try to look in rimbayu, sepang area or shah alam 2.","Nov 14 2015, 11:06 PM"
Elmina by Sime Darby v2,prince_mk,I prefer Elmina there. Nice township,"Nov 15 2015, 01:57 AM"
Elmina by Sime Darby v2,prince_mk,I think there are many bought for investmentI wonder what is the original selling price frm developer?,"Nov 15 2015, 02:01 AM"
Elmina by Sime Darby v2,prince_mk,What phase is this?,"Nov 15 2015, 12:37 PM"
Elmina by Sime Darby v2,elmond,"I can't, the copy that I owned was not clear too.check my thread at elmina v1, I think I did provide the source link","Nov 15 2015, 02:16 PM"
Elmina by Sime Darby v2,MusicForLife,Ya but I think it's either removed or for certain users to download only. Thanks anyway!,"Nov 15 2015, 02:42 PM"
Elmina by Sime Darby v2,cwyan,phase 2.,"Nov 15 2015, 09:00 PM"
Elmina by Sime Darby v2,cwyan,"elmina garden vs elmina west....elmina garden look more high class. If I were you, I will do the very basic renovation. (dont reno if can) the workmanship for ariza is very good, you can save some moeny on the renovation.","Nov 15 2015, 10:18 PM"
Elmina by Sime Darby v2,prince_mk,Ariza??,"Nov 16 2015, 06:47 AM"
Elmina by Sime Darby v2,buggie,I think the agent said 699k or late 6++k. Mostly sold to SD staff. So a lot of staff can't afford to pay the monthly installment since its ready now. So they have to quickly let go. I bought mine from the head of human resource of SD.,"Nov 16 2015, 07:32 AM"
Elmina by Sime Darby v2,MusicForLife,Do you mind to disclose how much you bought and total cash you forked out?,"Nov 16 2015, 07:44 AM"
Elmina by Sime Darby v2,cwyan,yes,"Nov 16 2015, 08:26 AM"
Elmina by Sime Darby v2,prince_mk,Pls share. I really wanted to get one unit pls.Yeah i also heard that 90% sold to SD staff. Haizzzz,"Nov 16 2015, 12:12 PM"
Elmina by Sime Darby v2,buggie,I bought for 745k. The owners wouldn't budge any lower but their unit was the best location for me. So i took it.There was 1 unit owner willing to sell at 728k. But in front is a vacant land. Heard future will have a mosque there.Another selling for 730k but facing junction. And 1 more selling for 735k but facing vacant land which will be future school.,"Nov 16 2015, 12:56 PM"
Elmina by Sime Darby v2,BRE,"If SDP's price is 699K then hardly any profits lo for the SDP staff! Unless bumi staff then maybe can get some minimal profits!I tot the price was 599K, not 699k?","Nov 16 2015, 01:43 PM"
Elmina by Sime Darby v2,buggie,"You might be right at 599k. 699k sounds a bit too high. I just remember there was a '99'. Lol.They don't earn much, especially when kena RPGT","Nov 16 2015, 01:59 PM"
Elmina by Sime Darby v2,prince_mk,"Bro, u buy for own staying or investment? Planned to get one unit and keep them for future. The design and layout was nice. Others are too big for me.U may refer to the e-brochure and can see the location of the mosque and 3 schools. Omg!!! So many schools next to it.","Nov 16 2015, 02:18 PM"
Elmina by Sime Darby v2,say_it,"I have been to the launch of elmina east.Ariza price at 599k for intermediate.All sapu by internal staff only left 1 corner for public.For the photo above (with orange color frame), that one is not Ariza it is Keana 24x79, launching price at 700k++Internal staff have staff discount, if they selling at 700k++ for Ariza, they're making good profit","Nov 16 2015, 03:15 PM"
Elmina by Sime Darby v2,BEANCOUNTER,you can use your lifetime exemption for rpgt leh,"Nov 16 2015, 03:16 PM"
Elmina by Sime Darby v2,New Klang,Ariza launch price 599K.Bumi 7% and staff discounts 5% applicable. Total 12% discount.If subsale price is 699K then profit before tax and costs is about 170K. Not a bad return for a simple safe low risk investment.See photo.,"Nov 16 2015, 03:17 PM"
Elmina by Sime Darby v2,kochin,"is the bumi and staff discount combined or whichever higher applies?low risk? at say 90% of 599k loan, one needs to service approx RM2.5k monthly installment?assuming they do dispose within 6 months (including execution and handover the prop to new purchaser), that's still RM15k of interest cum installment to the banks.you also need to factor in interest during construction, say 2.5% of the SPA price. say RM15k.SPA fees (unless tumpang purchaser lawyer?). say RM8k.insurance and deposit for utilities during VP. say RM1k.quit rent, assessment. say RM500Agent's fee (assume using agent). 2%. say RM14k.RPGT deduction (provided did not use waiver and ada untung taxable). maybe circa 30% of RM200k = RM60kso 170k untung - 15k - 15k - 8k - 1k- 0.5k -14k - 60k56.5k.so, still low risk or not?don't look at the big figure.prop investment is not that handsome a gain after all if you count all the cost involved.","Nov 16 2015, 03:28 PM"
Elmina by Sime Darby v2,New Klang,"Your calculation is very prudent as you have factored a higher cost so actual profit is more.Whichever way you look at it, 100K investment to return 56K in 2 years is better than FD of 4% p.a.","Nov 16 2015, 03:40 PM"
Elmina by Sime Darby v2,prince_mk,Did u go through agent? mine to PM me the agent number? tks.,"Nov 16 2015, 04:14 PM"
Elmina by Sime Darby v2,cwyan,the land size 20x88 vs 24x79. 24x79 is the best.,"Nov 16 2015, 05:06 PM"
Elmina by Sime Darby v2,cwyan,keana 24x79 lunching price 708k++,"Nov 16 2015, 05:58 PM"
Elmina by Sime Darby v2,prince_mk,24x79 is Keana I guess. But also must see budget too. haizz. let me consider first.,"Nov 16 2015, 06:03 PM"
Elmina by Sime Darby v2,buggie,"Buying for own stay first. See how laterOnly thing is I think the kitchen a bit too small if plan to do serious daily cooking. Then need to extend the rear yard. The rear yard had quite a lot of space. This if course will contribute to the reno cost. Major work this. Lucky we don't do any cooking so can save a bit.The finishing was nicely done. of the 4 houses I went to see, I couldn't recall any shoddy work that need to claim warranty. But I'll reserve this comment until I get the keys and have my whole family comb through the place. I would say the baths need little or no reno at all.Have asked the agent who is also a friend if I could give you her number. Will PM if I get the ok","Nov 16 2015, 06:11 PM"
Elmina by Sime Darby v2,cwyan,did you visit the 24x79 before made the purchase?,"Nov 16 2015, 06:22 PM"
Elmina by Sime Darby v2,buggie,Was informed that it was sold out. SD website also listed Keana as sold out.the subsale price is about 850k before incidentals which is out of my budget. Even the 745k for Ariza was stretching it a bit.,"Nov 16 2015, 06:36 PM"
Elmina by Sime Darby v2,MusicForLife,"Bro if you are not rushing to stay, I think we should wait for Elmina west then only make comparison with Elmina East.I am in the same situation as you but i've decided to wait for Elmina west to launch.","Nov 16 2015, 06:37 PM"
Elmina by Sime Darby v2,BRE,"No dead chicken here like BR? Prop slow down, maybe coming soon here?","Nov 17 2015, 07:27 AM"
Elmina by Sime Darby v2,MusicForLife,"Ahaha Maybe? I think after they launch Elmina west it will definitely affect subsale market here but the size is way smaller, have to really wait for it to launch only can compare.They have to many different sizes coming, 20 x 60, 20 x 70 and so on.","Nov 17 2015, 11:36 AM"
Elmina by Sime Darby v2,BRE,"During bad times, most ppl go for the cheaper props lor bro, if SDP follow IJM's strategy and launch 20x60 DSLs at 600K+ next year, then Ariza become dead chicken?","Nov 17 2015, 11:38 AM"
Elmina by Sime Darby v2,elmond,"denai alam was dealing with rm650k 20x70, died chicken not so soon.17 Feb 15 XX JALAN ELEKTRON U16/93","Nov 17 2015, 11:51 AM"
Elmina by Sime Darby v2,prince_mk,yes that s what I wan to say. that s y people keep promoting Ariza. wait till next launching surely Ariza will drop abit coz mostly will go for cheaper props despite the size is slightly smaller.,"Nov 17 2015, 11:54 AM"
Elmina by Sime Darby v2,prince_mk,we shall wait after cny and see how...hope can catch some dead chicken after cny.,"Nov 17 2015, 11:57 AM"
Elmina by Sime Darby v2,BRE,"This dead chicken is the hot issue in BR, now the wind sweeping to Elmina as well?","Nov 17 2015, 12:25 PM"
Elmina by Sime Darby v2,LDP,"Today in the paper, SDP is voted one of the best place to work..hahaha, staff can whack property and make juicy profit ...","Nov 17 2015, 12:58 PM"
Elmina by Sime Darby v2,MusicForLife,"Exactly what I thought, Ariza they whacked a lot right? 50% +?At least 50k nett profit if they sell now.","Nov 17 2015, 01:02 PM"
Elmina by Sime Darby v2,say_it,"the new launch in elmina west not only the size is slightly smaller, do consider the negative factor as well, like sewage...","Nov 17 2015, 01:26 PM"
Elmina by Sime Darby v2,LDP,The sewage is pretty big big.....for the whole township i guess....,"Nov 17 2015, 01:34 PM"
Elmina by Sime Darby v2,MusicForLife,"I believe the smaller units are in Elmina vale, that area itself is quite big, I don't mind to get 1 unit if it's not that near to it.","Nov 17 2015, 01:44 PM"
Elmina by Sime Darby v2,utellme,"I bought my Crista unit at Elmina East. As usual, property less than 1 mil, SDP always go for balloting therefore I fail to get any unit in the early phases ballot for Ariza, Regia,... Cressida.","Nov 17 2015, 02:00 PM"
Elmina by Sime Darby v2,MusicForLife,"Hopefully no balloting this round XD, like Rimbayu,Sp setia last time need to ballot, their new launches recently just queue early for favorable units.","Nov 17 2015, 02:14 PM"
Elmina by Sime Darby v2,Neoh1979,I was there just now...SA told me that the 20x60 and 20x 70 will have ballot. About 300units each...20x60 will be near PE transformer...get ready in January,"Nov 17 2015, 02:29 PM"
Elmina by Sime Darby v2,BRE,Price bro?,"Nov 17 2015, 02:39 PM"
Elmina by Sime Darby v2,Neoh1979,SA said estimated 610-620k for 20X60 (fully extended & no upstairs living). 670-680k for 20x70 (5 ft at the back yard). 20x60 near HTC and PE,"Nov 17 2015, 02:55 PM"
Elmina by Sime Darby v2,LDP,No freebie ? or discount ?,"Nov 17 2015, 03:14 PM"
Elmina by Sime Darby v2,BRE,Sure ppl will compare with Penduline in BR! If 670K is nett price then jialat although Elimina is freehold.,"Nov 17 2015, 03:45 PM"
Elmina by Sime Darby v2,cwyan,"20x70 @670k to 680k vs 20x88 @740k, which one u choose and which one more value for money? (include design, location Elmina west vs Elmina Garden)","Nov 17 2015, 04:02 PM"
Elmina by Sime Darby v2,utellme,I guess balloting process still apply for the SDP new launching except property price exceed 1 Mil. The best thing is SDP pay for MOT and SNP legal fee for the new launching so new purchaser save about RM20K for house price RM650K++.,"Nov 17 2015, 04:13 PM"
