,sentences,users,date,sentiment_score
102,"phase, 2",cwyan,"Nov 15 2015, 09:00 PM",0.0
103,"elmina, garden, vs, elmina, west, ...., elmina, garden, look, high, class, basic, renovation, workmanship, ariza, good, save, moeny, renovation",cwyan,"Nov 15 2015, 10:18 PM",0.7269
104,ariza,prince_mk,"Nov 16 2015, 06:47 AM",0.0
105,"think, agent, 699k, late, 6++k, sell, sd, staff, lot, staff, afford, pay, monthly, installment, ready, quickly, let, buy, head, human, resource, sd",buggie,"Nov 16 2015, 07:32 AM",0.2732
106,"mind, disclose, buy, total, cash, fork",MusicForLife,"Nov 16 2015, 07:44 AM",0.0
107,yes,cwyan,"Nov 16 2015, 08:26 AM",0.4019
108,"pls, share, want, unit, pls, yeah, hear, 90, sell, sd, staff, haizzzz",prince_mk,"Nov 16 2015, 12:12 PM",0.6486
109,"buy, 745k, owner, budge, lower, unit, good, location, 1, unit, owner, willing, sell, 728k, vacant, land, hear, future, mosque, selling, 730k, face, junction, 1, selling, 735k, face, vacant, land, future, school",buggie,"Nov 16 2015, 12:56 PM",0.1779
110,"sdp, price, 699, k, hardly, profit, lo, sdp, staff, bumi, staff, maybe, minimal, profits!i, tot, price, 599, k, 699k",BRE,"Nov 16 2015, 01:43 PM",0.4402
111,"right, 599k, 699k, sound, bit, high, remember, 99, lol, earn, especially, kena, rpgt",buggie,"Nov 16 2015, 01:59 PM",0.4215
112,"bro, u, buy, staying, investment, plan, unit, future, design, layout, nice, big, u, refer, e, brochure, location, mosque, 3, school, omg, school",prince_mk,"Nov 16 2015, 02:18 PM",0.4215
113,"launch, elmina, east, ariza, price, 599k, intermediate, sapu, internal, staff, leave, 1, corner, public, photo, ariza, keana, 24x79, launch, price, 700k++internal, staff, staff, discount, sell, 700k++, ariza, good, profit",say_it,"Nov 16 2015, 03:15 PM",0.6808
114,"use, lifetime, exemption, rpgt, leh",BEANCOUNTER,"Nov 16 2015, 03:16 PM",0.0
115,"ariza, launch, price, 599k.bumi, 7, staff, discount, 5, applicable, total, 12, discount, subsale, price, 699, k, profit, tax, cost, 170k., bad, return, simple, safe, low, risk, investment, photo",New Klang,"Nov 16 2015, 03:17 PM",-0.2263
116,"bumi, staff, discount, combine, whichever, high, applies?low, risk, 90, 599k, loan, need, service, approx, rm2.5k, monthly, installment?assuming, dispose, 6, month, rm15k, interest, cum, installment, banks.you, need, factor, interest, construction, 2.5, spa, price, rm15k, spa, fee, rm8k.insurance, deposit, utility, vp, rm1k.quit, rent, assessment, rm500agent, fee, 2, rm14k, rpgt, deduction, maybe, circa, 30, rm200k, rm60kso, 170k, untung, 15k, 15k, 8k, 1k-, 0.5k, -14k, 60k56.5k.so, low, risk, not?don't, look, big, figure.prop, investment, handsome, gain, count, cost, involve",kochin,"Nov 16 2015, 03:28 PM",0.8334
117,"calculation, prudent, factor, high, cost, actual, profit, whichever, way, look, 100, k, investment, return, 56, k, 2, year, fd, 4, p.a",New Klang,"Nov 16 2015, 03:40 PM",0.4404
118,"u, agent, pm, agent, number, tks",prince_mk,"Nov 16 2015, 04:14 PM",0.0772
119,"land, size, 20x88, vs, 24x79, 24x79, good",cwyan,"Nov 16 2015, 05:06 PM",0.4404
120,"keana, 24x79, lunching, price, 708k++",cwyan,"Nov 16 2015, 05:58 PM",0.0
121,"24x79, keana, guess, budget, haizz, let, consider",prince_mk,"Nov 16 2015, 06:03 PM",0.0
122,"buy, stay, lateronly, thing, think, kitchen, bit, small, plan, daily, cooking, need, extend, rear, yard, rear, yard, lot, space, course, contribute, reno, cost, major, work, lucky, cooking, save, bit, finishing, nicely, 4, house, recall, shoddy, work, need, claim, warranty, reserve, comment, key, family, comb, place, bath, need, little, reno, ask, agent, friend, number, pm, ok",buggie,"Nov 16 2015, 06:11 PM",0.936
123,"visit, 24x79, purchase",cwyan,"Nov 16 2015, 06:22 PM",0.0
124,"inform, sell, sd, website, list, keana, sell, out.the, subsale, price, 850k, incidental, budget, 745k, ariza, stretch, bit",buggie,"Nov 16 2015, 06:36 PM",0.0
125,"bro, rush, stay, think, wait, elmina, west, comparison, elmina, east, situation, decide, wait, elmina, west, launch",MusicForLife,"Nov 16 2015, 06:37 PM",0.0
126,"dead, chicken, like, br, prop, slow, maybe, come, soon",BRE,"Nov 17 2015, 07:27 AM",-0.4215
127,"ahaha, maybe, think, launch, elmina, west, definitely, affect, subsale, market, size, way, small, wait, launch, compare, different, size, come, 20, x, 60, 20, x, 70",MusicForLife,"Nov 17 2015, 11:36 AM",0.4019
128,"bad, time, ppl, cheap, prop, lor, bro, sdp, follow, ijm, strategy, launch, 20x60, dsl, 600k+, year, ariza, dead, chicken",BRE,"Nov 17 2015, 11:38 AM",-0.8316
129,"denai, alam, deal, rm650k, 20x70, die, chicken, soon.17, feb, 15, xx, jalan, elektron, u16/93",elmond,"Nov 17 2015, 11:51 AM",-0.5994
130,"yes, s, wan, s, y, people, promote, ariza, wait, till, launch, surely, ariza, drop, abit, coz, cheap, prop, despite, size, slightly, small",prince_mk,"Nov 17 2015, 11:54 AM",0.7269
131,"shall, wait, cny, ..., hope, catch, dead, chicken, cny",prince_mk,"Nov 17 2015, 11:57 AM",-0.34
132,"dead, chicken, hot, issue, br, wind, sweep, elmina",BRE,"Nov 17 2015, 12:25 PM",-0.6486
133,"today, paper, sdp, vote, good, place, work, .., hahaha, staff, whack, property, juicy, profit, ...",LDP,"Nov 17 2015, 12:58 PM",0.8555
134,"exactly, think, ariza, whack, lot, right, 50, 50k, nett, profit, sell",MusicForLife,"Nov 17 2015, 01:02 PM",0.4404
135,"new, launch, elmina, west, size, slightly, small, consider, negative, factor, like, sewage, ...",say_it,"Nov 17 2015, 01:26 PM",-0.235
136,"sewage, pretty, big, big, ....., township, guess, ....",LDP,"Nov 17 2015, 01:34 PM",0.4939
137,"believe, small, unit, elmina, vale, area, big, mind, 1, unit, near",MusicForLife,"Nov 17 2015, 01:44 PM",0.0
138,"buy, crista, unit, elmina, east, usual, property, 1, mil, sdp, ballot, fail, unit, early, phase, ballot, ariza, regia, ..., cressida",utellme,"Nov 17 2015, 02:00 PM",-0.5423
139,"hopefully, ballot, round, xd, like, rimbayu, sp, setia, time, need, ballot, new, launch, recently, queue, early, favorable, unit",MusicForLife,"Nov 17 2015, 02:14 PM",0.9022
140,"..., sa, tell, 20x60, 20x, 70, ballot, 300units, ..., 20x60, near, pe, transformer, ..., ready, january",Neoh1979,"Nov 17 2015, 02:29 PM",0.3612
141,"price, bro",BRE,"Nov 17 2015, 02:39 PM",0.0
142,"sa, estimate, 610, 620k, 20x60, 670, 680k, 20x70, 20x60, near, htc, pe",Neoh1979,"Nov 17 2015, 02:55 PM",0.0
143,"freebie, discount",LDP,"Nov 17 2015, 03:14 PM",0.4215
144,"sure, ppl, compare, penduline, br, 670, k, nett, price, jialat, elimina, freehold",BRE,"Nov 17 2015, 03:45 PM",0.4588
145,"20x70, @670k, 680k, vs, 20x88, @740k, u, choose, value, money",cwyan,"Nov 17 2015, 04:02 PM",0.34
146,"guess, balloting, process, apply, sdp, new, launching, property, price, exceed, 1, mil, good, thing, sdp, pay, mot, snp, legal, fee, new, launching, new, purchaser, save, rm20, k, house, price, rm650k++",utellme,"Nov 17 2015, 04:13 PM",0.7351
147,"choose, 20x88, new, launching, design, typical, type, alot, ppl, 20x70, 20x60, lousy, term, location, layout",Neoh1979,"Nov 17 2015, 04:24 PM",-0.5423
148,"time, buyer, like, rush, 20x70.the, layout, ah",MusicForLife,"Nov 17 2015, 05:01 PM",0.3612
149,"current, market, condition, need, ballot",forever1979,"Nov 17 2015, 06:26 PM",0.0
150,"sure, ballot, lo, bro, sdp, launch, 40, 50, unit, ppl, register, save, cost, need, provide, food, blanket, etc, ppl, q, overnight",BRE,"Nov 17 2015, 06:57 PM",0.6705
151,"50, unit, ballot, think, bye, bye, project, sure, kena, sapu, internal, staff",MusicForLife,"Nov 17 2015, 07:57 PM",0.3182
152,"sdp, limit, staff, purchase, bro, 670k+, exactly, cheap, maybe, staff, sapu",BRE,"Nov 17 2015, 08:17 PM",0.0
153,"good, employer, ma, hahalook, past""at, 10:00am, 250, sime, darby, staff, interest, ariza, 250, staff, fight, 59, unit, ballot, 11:00am, 59, unit, staff, allocation, sell, management, choice, open, 46, unit, reserve, public, staff, condition, staff, enjoy, 5, staff, discount, 12:00pm, 50, bumi, quota, meet, bumi, staffs, buy, staff, discount, 7, bumi, discount, ariza, 50, bumi, quota, meet, open, public, ""http://propcafe.net, sime, darbys, elmina, ari, ..., -ph2-regia, ph3/",MusicForLife,"Nov 17 2015, 09:13 PM",0.7579
154,"story, 2, year, ago, right, bro, prop, market, slow, la, ppl, tighten, belt, save, doubt, sdp, staff, sapu, unit",BRE,"Nov 17 2015, 10:51 PM",0.1779
155,"kindly, let, know, elmina, sale, gallery, share, sale, gallery, denai, alam, tq",klangvalleyrookie,"Nov 18 2015, 12:36 AM",0.6597
156,"different, gallery, bro, elmina, gallery, right, hand, guthrie, highway, come, bj, u, need, exit, elmina, interchange",BRE,"Nov 18 2015, 06:47 AM",0.4939
157,"thank, bro, shall, pay, visit, soon",klangvalleyrookie,"Nov 18 2015, 11:42 AM",0.2732
158,"great, good, luck, tell, 300units, size, layout, verbal, understand, low, gr, 20x60, fully, extend, live, area, upper, floor, visit, gallery, site, progress, clearing",Neoh1979,"Nov 18 2015, 04:10 PM",0.9134
159,"20x65, bit, small.ideal, layout, 24, ft, x, 70, ft",forever1979,"Nov 18 2015, 04:53 PM",0.0
160,"nope, ideal, 24x75",cwyan,"Nov 18 2015, 05:53 PM",-0.4168
161,"24x75, fully, extend, 😅",achongs,"Nov 18 2015, 06:51 PM",0.2484
162,"consider, new, subsales?i, tight, budget, meet, haiz",prince_mk,"Nov 18 2015, 08:32 PM",0.0
163,"buy, keana, elmina, garden, 24x79, subsale, rm840, k, iproperty",utellme,"Nov 18 2015, 09:46 PM",0.0
164,"budget?ariza, set, 3500, month, 90, loan, 30, year, need, 100k, cash, payment, stamp, duty, legal, fee, reno, furniture, fitting, expect, 100k, cash, wanna, nicely, keana, 4k, month, maybe, 120k, big, bitelmina, west, small, cheap, maybe, developer, absorb, fee, new, launching, know, sewage, issue, think, think, find, sweet, spot, budget, size",buggie,"Nov 18 2015, 10:37 PM",0.7506
165,"keana, nice, spacious, abt, loan, installment, think, loan, burdening, m, bank, loan, irresistable, landed, guess, need, calculation, burden, long, term, commitment, u, guy, work, pj, area",prince_mk,"Nov 19 2015, 12:48 AM",0.0258
166,"property, share, maybe, share, experience, u.",cwyan,"Nov 19 2015, 09:31 AM",0.5267
167,"apartment, live, parent, kepong",prince_mk,"Nov 19 2015, 09:36 AM",0.0
168,"currently, rent, bukit, jelutong, fetch, cousin, school, denai, alam, morning, frank, denai, alam, office, kelana, jaya, 30, minute, toll, expensive, rm1.90, rm1.i, worth, pay, colleague, stay, puchong, area, use, elite, nkve, kelana, jaya",MusicForLife,"Nov 19 2015, 11:03 AM",0.128
169,"know, near, national, chinese, primary, school, elmina, visit, afternoon, like, doubt, cos, know, send, kid, study, stay",klangvalleyrookie,"Nov 19 2015, 11:17 AM",0.0
170,"unit, belong, u., sell, 1st, rent, new, owner, money, buy, unit, elmina",cwyan,"Nov 19 2015, 11:43 AM",0.0
171,"cwyan, parent, wan, stay, plan, buy, year, wait, rent, time, topup, abit",prince_mk,"Nov 19 2015, 11:48 AM",0.0
172,"think, close, chinese, primary, school, kampong, baru, subang, 6, km, away, elmina",utellme,"Nov 19 2015, 11:53 AM",0.0
173,"thanks, sjk, ©, subang, 9, km, away, elmina, garden, yeah, digging, find, choice, school, sk, subang, bestari, help, int, school",klangvalleyrookie,"Nov 19 2015, 12:03 PM",0.7783
174,"jan, launch, project, ..., midst, land, clearing, htc, 50, m",Neoh1979,"Nov 19 2015, 12:20 PM",0.0
175,"surprised, sdp, delay, launching, happen, time, project, ph, sj, ad",BRE,"Nov 19 2015, 12:23 PM",-0.1027
176,"suprise, .., think, cny, mean, feb, jan, ..",LDP,"Nov 19 2015, 02:08 PM",0.0
177,"yes, feedback, sa, normally, launch, new, project, cny, probably, feb, march, 2016.get, bullet, ready",BRE,"Nov 19 2015, 03:16 PM",0.6369
178,"lazi, ballot, skip, lor, need, prepare, bullet, :-), ..., furthermore, sewage, plant, huge, throw, ..",LDP,"Nov 20 2015, 08:03 PM",0.3182
