post,sentiment
"Share with u guys why I buy a unit in elmina.1. Developer - sime darby property -- I know sime darby property is not better than eco world and not the best but it not the worse. At least it able to deliver and hand over the house on time and it wont run away and become a abandon project.2. Quality - I know sime darby property didnt deliver the super quality product but at least it not the worse and the quality still can acceptable. (eg I stay in putra heights and it consider not bad compare with other deverloper). I know they should improve the qualaty but too bad they didnt.3. Location - just with 20 mins to one utama. - near kwasa damanasara, kota damanasara, pj, ara damasara - I got an option to use the road without paying a toll - easy access to highway - new highway is on the way - DASH (not sure the 100% can build on time) - near sg buloh MRT4. Trafic jam - which area not jam?5. Freehold property - I have staying in leasehold and freehold property, some of u may say is the same but I have experience when I sell my leasehold condo and the price appreciation on for freehold is alway faster and higher than leasehold.6. compare with new township - elmina vs Rimbayu, ecohill, eco xxxx in kota kementing and eco xxx in syemyih, elmina is still better in term of location.7 price - pricing for new township elmina vs rimbayu, ecohill, eco xxxx kota kementing/syemyih, ecohill in term of location, leasehold vs freehold. elmina still better.Agreed with u. Well said.",1
"QUOTE(prince_mk @ Nov 22 2015, 07:53 PM)Still doable. Coz it is freehold and that area is picking up.Have u buy any landed in KL?Nope, still shopping",0
"QUOTE(BRE @ Nov 23 2015, 08:15 AM)Bro wil still window shopping in so many places! Happy shopping bro & I hope u will get the best one!Dont forget the incoming dead chickens also!If have patience, definitely will get gud deal",1
"QUOTE(wil-i-am @ Nov 23 2015, 09:16 AM)If have patience, definitely will get gud dealCorrect bro, patience is virtue but dont shop too long also bro until u get confused and miss out the good deals!What do u think of Elmina as compared to the southern KV townships in Kajang/Semenyih/Sepang/Salak Tinggi areas?",1
"QUOTE(wil-i-am @ Nov 23 2015, 09:29 AM)It could take sometime for E&O to unveil their plansE&O is a gud developer in terms of design, finishing n positioningI know they have projects in STP, Penang & Avira, Johor both also sibeh expensive & unaffordable props bro! Which of their projects do u like?",1
"QUOTE(BRE @ Nov 24 2015, 07:20 AM)Any particular reason bro? Lunch hour this road is packed with hawkers and ppl and the road is narrow, other times should be OK.Nope",0
Star avenue at u5 is opening 12 dec 2015,1
Based on what you say like this. Kota kemuning is shah alam right,1
"yes, shah slam.can you explain why commercial under MBSA is tough?",1
"Huh? what is wrong what is right? Since when i say SA and KK not in Shah Alam?Yeah, there's many mall in Shah Alam, but are they doing well?My point of view, built shop built mall doesnt mean can bring up the place.",1
"Nice..If its true, then will have alternative access in the surrounding area.",1
Interested to know more on this project. Thanks.,1
"if it's sliding windows, you can install inside or outside.if it's swinging windows, you can only install inside.",0
"324 out of 341 units sold via balloting last Saturday, the unsold units most probably are the expensive corner units? Despite all the negative news on Elmina Valley, the sales is very good! Congrats to the buyers!Very good furnishings from SDP also.",1
Piping from where?,0
why said so?the price was calculated by 1+2+3+41) cost based on land size2) construction cost based on built up3) others cost4) margininstead elmina valley psf expensive than elmina east in term of landed lot size.,0
Anyone did their defects checking for EE?,0
"haha, u remember. busy la... with gardening .regiawell... the first round almost a hundred. 2nd round not so much.... 3rd are the ones that only can be seen if we are living in the house.",0
Got ur idea on the renovation already?,1
"Wow so fast launching phase 2? Mana ada slow prop market leh? SDP very confident leh with EVAfter the 20x70 DSLs, next will be 22x75 DSL from 700K onwards?",1
Layout is shown in the mobile app. At 650k and 4B4R for a 20x70 house is great sweetspot for own stay as well as investment.Was informed that only 160 unit is open so there may be future phases as their normal practice.Edit : opps sorry for the error. It is 20x70.,1
"Ideas a lot. Bullets je xde lg... hehe.Very good paradigm shift there, En. Jeghui.",1
Wow... that many defects? My unit at Ariza so far not many. Now i'm worried i missed something or dunno how to look... lol,0
what do u guys think how's elmina will turn out to be? Will it be just same like other SD township like bukit jelutong or denai alam? Or SD is working very hard this time to make elmina a vibrant township?,1
"a lot of sound pollution from the plane.its on the flyin track, if plane crashed... habis lol",0
"You can learn from the best in the Whatsapp grp.Hahaha, bro... do u know that most planes crash not on their flying track? If they're on their flying path, then most probably nothing is wrong.",1
I m not here to scare existing n potential buyer..but in the 70s a plane did crashed into ladang elmina... But its not known the exact location.. U can google this,0
"total 1549.45 acres, name not sure yet.residential (bungalow, semi detached house, terrace house, strata housing plot and apartment) approximately 275.50 acres for a total of 9,048 unitsindustrial proposed is non-polluting industry (Managed Industrial Business Park) which takes up an area of 215.78 acrescommercial sector, which takes up 68.75 acres37.58 acres of land for integrated school complextotal population equivalent estimated to be 82,103",1
Freehold ? And under which council ?,0
still got freehold land?,1
"apps said completion date june 2018, so anytime before puasa.",1
"yup around RM619K,dunno how much for the 22 x 75 ? anyone can guess",1
"for who interest on EV3, here is the information (extract from MBSA zoning information) for future development on bukit subang side. not sure it's still valid.temple, water tank was mention in brochure.the remains are medan makan, klinik kesihatan, perpustakaan, masjid & depoh kenderaan",1
Maybe the price SA told me (RM7xxk) are the price after 7% Bumi discount. Not sure,1
"if the starting price mentioned is RM809,888 before discount, then this is consider as cheaper than Phase 2 in terms of price per sqft. Which means, for new owner, better to grab this unit as compared to Phase 2 (100% sold out already)Reason is, the smallest size for type B intermediate (22x75) is 2,369sqft. While Phase 2 Type A the intermediate unit is 1,855sqft at RM645,888. Therefore, for Phase 2 Type A price per sqft is RM348.19Considering of the price per sqft in Elmina Valley for Phase 1 and Phase 2 assumed is maintained at RM348.19 per sqft, then the Phase 3 Type B intermediate size 22x75 at 2,369 sqft price should be at RM824,888 (SD always like 888 at the last 3 digits).If the price is RM809,888 before discount then the price per sqft is RM341.87. Then the Phase 3 price consider cheaper than Phase 2",1
"Thank you elmond. It's a little small for me to read the labels unfortunately. Is there a way to view a bigger version of it?One more noob question, on the sitemap there are blocks labeled 'PE'. What does that mean?",1
Folks one question.The Persiaran Atmosfera is a current existing road? Or they are going to build/widen it?Does that means this road can link to Persiaran Jati and straight to reach Kota Damansara?,1
Elmina don't have Raya open house this year? Missed to see the latest projects...,1
"Visited the gallery last weekend, heard from SA that there will be launch soon for EV Phase 3. Price if I not mistaken start from $830k for 24x75. Sound soo expansive with less than desire location (compare to Elmina East). Any comments?",0
"738k bumi price for 22X75 with 23++ SF buildup, so non bumi price can be 793K",0
"Those who are planning to buy, here is the distribution:EV3 - Type B 22x75: 69 unitsEV3 - Type C 24x75: 158 unitshere is the sitemap plan:http://www.simedarbyproperty.com/clients/s..._siteplan_1.jpg",1
"could be...but depends....other people got diff view...This phase 3 is located at Elmina West...Keana located at Elmina East...Based on the price, looks like Elmina West price per sqft is higher than Elmina East...But if you are looking for the size, got few properties nearby like Denai Alam and Elmina (e.g. Keana) at similar price as this EV Phase 3...So it is up to your choice..",1
EV4 & 5 location not bad.,1
This means Garinia sub sale price is $370psf. Let's compare with the upcoming EV3 22x75 nb price from $790k with bu 2369sf or $333psf. Which one more worthy?,1
"Another con for Garinia is the units are mostly facing east/west.Any idea what is the rebate & sales package of EV3? If not mistaken EV1 gave 2% rebate, free SPA legal fee & MOT.",1
Ya lor. Last time along LDP also got no shopping mall,1
"The cheapest 5 units @ $793,888 facing kindy all habis sapu today. Other than that, still plenty of units to cherry-pick.By all means, pls go ahead if u really like this place, especially for own stay. EV3 psf price consider okay compare to the other earlier phases in EG & EV. As for investment, I personally think should enter at later stage.",1
My 'feel' is prices in Elmina won't appreciate much in the near term due to prevalent market sentiment and lack of commercial element. It is still at its early development stage. Best to enter when it reaches the high growth stage although prices would be a higher by then.,0
Hows the sales update for EV3? Seems quiet here..,0
"its on first come first serve basis, same as what @redalert told in post #397",1
"Definitely, SD thought still got momentum mer from EV 1&2. Summore this section also so so among Elmina city, and have to pay 800k. Better buy SA or Elmina sub sale.",1
SD is large and cash rich. Lowering price may hurt its pride.,0
True they normally will nt do it n will nt give high rebate,0
"until yesterday, about half left for type b.. type c too many",0
Hope for mosque not built is a major risk...I know one developer said the mosque WILL NOT BE BUILT...but to anyone surprise...the mosque was built just one year after the house is vped....Investors got stucked w the properties...i know many investors sold the houses with losses.,0
"not understand which part that you need, why not you check all my threads.https://forum.lowyat.net/topic/3615469?author=elmond",0
It's ur post #9 with the chart that reads Proposed land use component for phase 1. Is that for EV?,1
Humble millionaire spotted with a bank of FH props and lands.,1
Surprise. Still got loan rejected units after 2 months.How many units available ?,0
"Zedscofield, you just snatched the one i was rooting for.Thats how good it is.20x70 with every adjoining bathroom, thats greatCongrats.",0
"For EG owners,Have you received assessment (2H16) notice from MBSA?When is the due date?I've checked with neighbours, some have received others not.To whom shall i check with MBSA.",1
Should be 20x70.Is it loan reject unit also?,0
Wow.. thats fasttt,1
"nice...thanks for sharing...from the signboard, it shows EV Phase 2A and 2B....then this is consider fast...hehe",1
https://forum.lowyat.net/index.php?act=ST&f...808402&st=3346#will it effect the house value drop?,0
Increase amenities means increase population means increase value.Its currently a dead city in elmina.,0
so how much will that be?,0
Wow. That's fast. EV3 sold out already?Where's EV4 located btw?,1
"correct, but number #1 not direct to paya jaras interchange, it's just connect jalan paip (same junction saujana utama to jalan kuala selangor)with these connection road, basically persiaran elmina no longer favor to saujana utama later.",0
Any possibility that we have to wait for Kwasa to be fully developed to enjoy the direct access via Persiaran Atmosfera? Don't think the road will be ready for July 2017 when the MRT fully opened.,0
"Sorry, can't help you out with that. I don't know any SA from Sime Darby. Just obtained info of pricing from their app only.",0
"Agree bro, I'm staying in putra heights n so far d quality nt too bad, sdp will build interchanges in their new townships for d residents ' convenience n they will never abandon their projects so peace of mind also. They also fought for d lrt hub in ph so ph residents can have another mode of transport.",0
"90% take up rate, wah dam good! How many units are you talking about?",1
"Thanks for sharing. Picture showing 75% booked, still quite impressive.",1
"Hi guys, just to check with any of u guys who have bought one of EV unit. According to my sales assistant he said that i might need to get ready the down payment money first in cash to pay to SD before i can proceed with applying from EPF. Any advice? Plus there is not free legal fee only 2% rebate on EV4.",1
"hi all, manage to get unit in ev3 last month..is there any whats app group or FB page that can add me in??",1
I see. Maybe you could call them to ask if there's any showroom for that event.All the best,1
near to track but not station,0
ya....many school,1
"now is city square first, can see the land clear in that areai think city centre not yet start",1
"haha, need pass 9 bumpers when i reach my home area",0
Why many Msians like to whine whine whine?Aren't we all adults?,0
"When you have.. 4 bumpers over a stretch of 50 meter road from the roundabout towards Land Office , you sure complain one. Somemore it is those broad 6ft wide pavement type bumps, not the normal ones.",0
10~20% ?maybe you can drop by on site and let us know,0
"progress quite well, some rows had been completed from the outlook",1
Wah thats good thanks!,1
Couldnt agree more. Elmina is all about long term vision,1
depends on how long u hold... and what pricing u going in.... denai alam was already quite sometime... the growth will be quite stagnant... but location wise slightly better than elmina... elmina still very new and with a good masterplan... the appreciation for a good township will always garner good growth.... as for denai alam... their township seems not progressing after all these while....,1
Extensive site clearance is now on going in EG1..hopefully it will not use the same entrance as Saujana Utama.,1
around rm1.2-1.3,0
elmina still quite far along hwy to USJ area ..approx 15-20 mins if drive 90km .. wow still FAR... lelbtw also far to the SJKC SUBANG primary school.. (one chinese there only)shame on malaysia! more malay school is 10 to 1 ratio,0
haha.... same applies to those who feel semenyih rawang is the bestest... i also dont und ada apa best... so my view is based on current situation... anyway... the place u preferred also doesnt mean sume orang will like kan,0
well... u compared with semenyih... of course i will say here is better... if u wanna talk about distance relatively... just go and hunt kl area properties k... pls tell me how great kl area is when jalan ampang GE mall to klcc no need 15 mins with less than 2km distance during most of the time except after 9pm and before 8am...,0
"That's what my retired parents thought when they moved into a property in bandar botanic. It's was a long highway ride but no jams back in 2005-2008. Then hoards of developers story building along Shah Alam and now it's a bloody nightmare to drive up and down kesas. Moral of the story, enjoy the quietness and jam free lifestyle until our local councils allow over development.",1
setia alam floods.. free swimming pools niceif not mistake the township is next to the largest cemetery at north.,0
Anyone from SDP reading this forum ?,1
UPDATE 15/1/2017The nearest i can get. Got Guard,1
Thanks for the photo. The red brick is some kind like patches to the concrete. I thought its a real red brick like Alam budiman at U10.But still beautiful..,1
"Don't be so happy 1st, after VP then give your comments here. I've done third round defects repairs on my property at EG. leaking leaking and leaking...., sub Contractor just use paint temporary to covered up.",0
Rumah Selangorku apartments.....,0
Looks like hostel design ler..... air ventilation gonna suffer...,0
Airbnb can do here ?,1
"yup, the initial plan was no access from GCE north to DASH damansara direction, driver need to travel slighly on jlan sungai buloh to get into the ramp (i think around the toyota SC).even no GCE south to DASH damansara, driver need to wait bukit subang interchange traffic lightCheck out official DASH highway websitehttp://www.prolintas.com.my/dash.phpIt shows an interchange between DASH and Guthrie below Denai Alam.",1
"the initial drawing only have access to puncak perdana from GCE north.anyone from puncak perdana can go in GCE by using back the bukit subang interchangeinterchange have many type, likes the bukit subang exit called diamond interchange, elmina exit called parcel parclo interchangeIf that is the case, wonder Sime Darby will build a better connection to the Damansara side.",1
"just my 2cents...went and check out Elmina...not my cup of tea1) too far..work in kl sentral2) no development yet...ie shopping center to buy groceries3) no nearby hospitals, clinics, schools4) nearest plc is rawang 20km or sungai buloh5) accessibility min pass 2 tollssorry just feel like isolatedbut surely, good forinvestment means next 10 years this plc could be developed...but dont have that patience as looking for own stay...",0
"this is from FB, check properly on the suggested denai alam interchange[attachmentid=8534155]From the pic, it looks like:(1) Dash Damansara-bound to GCE Shah Alam-bound;(2) Dash Puncak Perdana-bound to GCE Rawang-bound;(3) GCE Shah Alam-bound to Dash Damansara-bound;have to use the existing Bkt Subang interchange?",1
"just my 2cents...went and check out Elmina...not my cup of tea1) too far..work in kl sentral2) no development yet...ie shopping center to buy groceries3) no nearby hospitals, clinics, schools4) nearest plc is rawang 20km or sungai buloh5) accessibility min pass 2 tollssorry just feel like isolatedbut surely, good forinvestment means next 10 years this plc could be developed...but dont have that patience as looking for own stay...actually elmina is strategic if u r familiar with that area.1) kl sentral can drive or take mrt at sg buloh2) new township but can pinjam bukit jelutong/denai alam/shah alam. all within 10km3) hospital shah alam or sg buloh or private near that subang airport. clinic denai alam got. kota damansara opening gov clinic soon4) sg buloh very near, kota damansara/damansara also near5) no need toll use jalan dalam to go to shah alam/sg buloh. damansara no need toll. unless going using nkve",0
"really ah? usually i reach bukit jelutong toll around 7.30am, balik kerja around 5.30pmthat time not that bad.haha maybe if u have time, can experience urself using jalan dalam. exit at kg melayu subang/denai alam then lalu that jalan dalam until bukit jelutong. can pass one toll alreadyOk thanks for the inputBtw the jam at bukit jelutong toll at 7.30am how bad is it?",1
"I'm stayed at Bdr Kinrara BK4 and usually I travel to Elmina once a month during off peak hour which around 1:30 pm - 5:00pm . It took me about 35 mins (BK -> Kesas -> Elite - Exit Guthrice at Kampong Subang -> Jalan Dalam -> Denai Alam interchange -> GCE -> Elmina Gardens) and spent about 30 mins travel from Elmina Gardens to BK4.Elmina is good for medium /Long term investment or perhaps own stay, certainly not for short term investment, although there is some development work happening at EG City Square but don't expect those amenities will be ready in 4-5 years time from now.Current EV4 Phase - the dbl storey link 22X75 with BU 2313 still going at RM341 per sqft, I think it's still reasonable and I paid RM329 per sqft for my EG property back in 2013.",0
"If u buy EV4 during recent CNY promo, net price is only 326psf (MOT not included). If u don't mind, your EG price 329psf is before or after discount, MOT included or not?",
"Yup, bbb time 50k is like nothing to buyers.",1
Great & thanks for the effort.,1
"first impression it looks far also to me, but after study, the distance is not enough. have to be 700ft ~1000ft depends on the voltageBro, 700ft ~1000ft equivalent to 213m ~305m la lol.",0
"i read online, a minimum safe distance at least 700ft from high voltage power line (on metal towers) which some phases in Elmina garden are less then this distance especially Crista which i just made an offer yesterday. due to under estimate the effects of the high voltage towers, now would like to revoke my offer and change to Keana. all sifu, kindly advice.Why not go for Regia type landsize 30X69, saw someone let go intermediate unit at Iproperty slightly below 900K. There is not many superlink with house 30 ft wide frontage at Elmina below 900K.",0
"Why not go for Regia type landsize 30X69, saw someone let go intermediate unit at Iproperty slightly below 900K. There is not many superlink with house 30 ft wide frontage at Elmina below 900K.Whats the b/up?",0
Anyone that can add me into the whatapps group for Elmina Garden owner? Thanks!Add me too,1
"Dear ykit_88What Icemanfx meant was whether the HTC energized during your testing? because it is not all the time carry the high voltage, am i right? and under the HTC only capture 0.7mg seems not so correct, may be it was in the idling time?No idea then.Not so free to hang out there 24/7.The reading was taken around 4pm.Yes it's around that price.",0
How many ppl is going to stay at EV1/EV2? any group for EV2? bought a unit there last year..,1
very big space for superlink.... not bad...... now this is a genuine superlink already....,1
Just take 2-3% of property value as benchmark for interest paid during 2 yrs construction period.High value property like Viana not easy to sell during this period.,1
if compare which better buyPrecinct 11- 3 storey - Eximia 32x70 (3194sf) ..1.25m+(5bd 5 bath) semi-dor2 storey - 30x 97 viana (3177sf) /.1.16m+](4bd 5 bath) link,0
so you bought Crista? Thought you bother about the HTC?,1
Elmina is at Guthrie Highway strategic location to KL/PJ.Bigger land size has better appreciation value.,1
"Yes. Agreement signed, waiting for loan approval. M&E contractor told me that it is safe, my unit away from HTC is about 335m (1100 ft). just eyesore matter when in and out.And Viana better location, it closes to main entrance and has better scenery. Whereas, Crista has to reach via Merry-go-round.",1
"last few days i been there, Tiana now can 5% + 2.5% + RM8888, but i not sure the 2.5% is only for PRIME member or not.yup, Viana price is from 1.16m, after 5% is about 1.1m, 3177 sqft, means RM346 per sqftif not wrong, EV2 price from 650k, 1855 sqft, RM350 per sqftmeans Viana cheaper than EV2 ??",0
sime darby already built in fibre wiringMaxis also no charge wiringmeans free of charge on wiring,1
why nobody reply lol. i also want to know,0
I was looking at Regia units. Those are old. Almost out of the warranty period d.,1
ev4 brochure can download online,1
Pros m cons la if there r biz operating out of d township within 5 min drive i dont mind if d shoplots in d township is nt vibrant so tht it wont attract unwanted traffic to d township,0
No com activities means no shoplots there or there r shoplots there but none open for biz?,0
hence why its not attractive enough for ppl to move in now... even places like puncak alam also have basic commercial activities within 5 mins driving radius... i expect this area to grow faster than PA actually.... but the general township concept and the house also very nice... like it.... its just the commercials abit slow for now...,0
"Bro, pa is an old township la unlike elmina. As per bro utellme mayb sdp will b launching d shoplots soon. U never knw one of d hypermarket taikor will buy land in elmina soon mayb? In putra heights, giant came in only on d 7th to 8th yr i thnk when it was 1st launched. They wont come in when there r so few residents now",0
"guys, just 1 question. is this gated and guarded ?",1
i dont think there is anymaybe need to pay for guards only,1
but then with basic commercial activities... your housing can also be peaceful also... but with dead commercial shoplots... it is not only peaceful but eyesore also.... imagine those empty shoplot with banner... and usually visitors will saw it when visit your house... not a good view for a good township haha,0
There is a interchange between GCE and DASH. someone commented driving from EG via GCE route to DASH will lead to Alam Suria and not to the KL site. Better wait for the latest DASH route master plan.,1
Guarded area so far din hear any break in case.,1
Thanks ya.. I really like Viana after visit their unit..,1
Then what are you waiting for ?,1
"Erm.... last I checked Viana brochure should be 30x97, bu 3177sf.",1
"Normally SDP not so generous lah, There only offer 5% to Tianna and Vianna Phase due to property market stagnant now. I think SDP only offer 2-3% for EV phase 3&4. RM1.102 Mio still good buy for Super link with land 30X97 plus BU 3177sf.",0
"TG new superlink Sinar II price can get EG SemiD Tiana, but can't compare, for location and amenities TG is better than EG.",0
Hearsay next launch will be Elmina green phase 1 at about 600k.,1
Thank u for input. Houses in Denai Alam also selling @ about rm700k++ to 800k.. look like house price here doesn't appreciate. If buy also only for own stay.Elmina 3 price are all above this range?,
because they accepted the fact that even new township already 600k-700k for normal DSL.... anything nearer to matured city will definitely cost more... you are lucky if u get new landed launches below 1mil for mature areas...,1
"Rimbayu are leasehold, Setia Alam even further and traffic quite jam every working day.Elmina has no developer units below 800k left unsold unless future launch and no idea when.Alam Impian Pentas 5 just launched 1-2 months ago, next launching will be near to his budget and interest.",0
Share picture,1
Any idea when this Elmina Green will launch ?,1
"Certainly this is not cheap, investing 1.1mio property without full G&G for some people, but can you get another same type of property with same land size and buildup size else where in KV with this pricing. I didn't ask the SA how many unit they have sold last week but I think they will able to sell all in 3-4 months time, based on 70% unit taken at Tiana semi phase just within 4-5 months.",0
Oh F&G yes.,0
I see. How is d environment in E.G there? I'm concerning d distance go out for makan or buying stuff.,0
"Not really far lah, distance between subang airport to Elmina SDP office only 9.5km. It's 31.5km from Bdr Kinrara BK4 to SDP office, my usual travel time is about 30min via kesas-elite-gce. When DASH ready you can reach KL center within 40min and within 30-35 min to ikea or 1U.",1
Usually house prices will be lower than market value for lications with higher bumi quota. This is to allow higher participation.So Elmina prices cheap?,1
Elmina dsl all exceed 700k+? Too pricey tot of sapu-ing a unit here since sdp is putting a lot of effort here,1
"By that time, Elmina, currently link to Denai Alam - will be interconnected with another huge development, and will have access to MRT",1
it will be less than 5km after persiaran atmosfera extend to kwasa then persiaran jati (kota damansara)http://www.theedgemarkets.com/article/gada...kwasa-damansaraThe proposed development is accessible through Persiaran Atmosfera and will in the future be connected to the Guthrie highway.,1
I don't think it's really a premium for elmina.What's stopping me is basically the additional upfront payment I have to make to secure the property.I rather invest the money elsewhere dulu while waiting compared to paying up and starting from scratch again.Location of Elmina is actually very nice and strategic for me.,0
Wah for big taikor like u of cos 700+k is nt premium price!Wat additional upfront payment? 30% downpayment for 3rd prop onwards? If u want d unit no choice but to pay d 30% upfront lo,1
"Cost for construction material, cost for labour and cost for land conversion is going up every year. I don't think KV landed property prices will stagnate and drop in near future therefore I think SDP will increase their property price by few % each new launch especially in Elmina west.",1
May I know buyer of which phase you are ?,1
"This may be an odd question, but what about dog ownership in Elmina? It's under Shah Alam, so you already have to deal with their stringent requirements. If the RA or neighbors want to be difficult, then die lor.Not gonna buy a place then be told I have to give up my dog to live there.",1
"You have many reservations. I think a unit at BU, SS23, SS24 or D will suit you better. Just be prepared to pay 50% more for older houses.",0
"Haha, you made a good guess. I'm looking at SS26 actually, but the prices are crazy.",0
when im old... should be not interested to drive and stuck in the jam... wish everything within walking distance liao.... just downstairs of my condo will do hahahah,1
similar to eco majestic park,1
"Compare Elmina west and East, overall which place better? Any idea?",1
I failed to see the relevancy here.,0
"whether west or east is better is subjective, but based on current info:the more expensive property type are launched in Elimina WestThe affordable properties from 550k to less than a 1M are launched in Elimina East ( except for corner houses with extra land )It seems the under construction park is at Elmina East - and also east is connected directly to bukit subang and denai alam.From the Guthrie corridor highway, you can turn in to Elimina East directly and shorter distance, but now this road is currently not accessible, because EV1,2,3,4 under construction.",1
"Definitely not USJ5, that's for sure. That one always boom gate down no matter what time. But USJ2 is like what u mentioned. Inconsistency...",0
Can. So you very time guard block u until police come to intervene lo. If you don't mind the cat chase affair.,0
"i also wonder why Elmina can't do this way?many phase is over million ringgit per unit in the elmina garden, it also give a bad image to the prospect buyer",0
"Yes you corrected me...thanksThe initial Elmina phases is in Elmina Gardens, and its not gated, and are higher priced landed propertieswheareas Elmina Valley will have parameter fencing with a proper guardhse in each phase - and launching prices were 500k up, smaller land area and built up",0
"I suppose all gardens and central park are opened to public, so all F&G will exclude those areas - meaning, more beautiful the park is, should expect to draw more outsider visitors.",1
So high i tot 75% or 80%? If buyer dont want to sign sdp wont sell to him?,0
"Yes, 100% consent for new F&G application (with fencing + guardhouse), 85% consent if with guardhouse only.http://www.thestar.com.my/metro/community/...ns-in-selangor/",1
"I would suspect a lot of early phase EG are investors, which will make it complicated to even locate them.",1
Some update for EV3 Phase C and nearby area.,1
10k rebate+ buka puasa dinner 4 10 at tpc n d nt so attractive move in tmrw campaign - half page ad so unlike sdp- cut cost?,0
new launch 13/May 10am at Elmina Pavilion :-http://www.simedarbyproperty.com/elminavalleyphase4,1
The sd staff is lazy...they will ask u go to see direct contractor to fix it for faster response. That happened in BR. They will be 1 house allocated for the defect contractors. write in and keep bugging them....they will do whoever bugs them first...,0
internet free for elmina valley phase 4 only?,1
...,0
"thinking intermediate unit for Vianna, 1.2mil, need check out what is the progress billing now as my loan gona be 70% only.",1
"Huh, I thought intermediate only 1.1mil after discount 5%? Are u aiming facing outside?",0
"yup, I having part time maid do weekly cleaning, iron etc for my condo. Also robot vacumm for daily vacumming while I leave hse to work.",1
So cleaning d house no problem 4 u bro! Bbb asap lo!,1
A few % rebate still $$$ ma syiok sendiri also get rebate!,1
U bought? How d billing stage now?,1
I understand 30% progress payment have to be disbursed the moment S&P stamped and loan processed.Thing is SDP is very slow on the S&P signing. Been a few weeks since my part signed and still no news on S&P being stamped. So even loan agreement cannot proceed.,1
"good lah if SDP delay, you save some progress payment and previously I paid less than 6 months progress payment before VP due to MOT payment delay therefore SDP offer 2%-5% rebate without free MOT now.",1
Plannng to buy..,1
What is the % of progressive billing now ? The completion is July 2018 next year right ?,1
Has anyone bought a unit from EV3? and how's the current Raya promotion works?,1
"EV5, last of elmina valleyMBSA/OSC/PB/SEK.U15/0122/2017 (ID ONLINE:101936-1) : CADANGAN MEMBINA DAN MENYIAPKAN 168 UNIT RUMAH TERES 2 TINGKAT DI ATAS LOT 368, FASA EV5A, ELMINA WEST, SEKSYEN U15, 40160 SHAH ALAM. oleh SIME DARBY ELMINA DEVELOPMENT SDN. BHD. di Majlis Bandaraya Shah AlamMBSA/OSC/PB/SEK.U15/0123/2017 (ID ONLINE:101938-2) : CADANGAN MEMBINA DAN MENYIAPKAN 205 UNIT RUMAH TERES 2 TINGKAT DI ATAS LOT 368, FASA EV5B, ELMINA WEST, SEKSYEN U15, 40160 SHAH ALAM. oleh SIME DARBY ELMINA DEVELOPMENT SDN. BHD. di Majlis Bandaraya Shah Alam",1
Can some kind soul please add me in EG whatapps group...,1
"No really bad luck lah, just paying my yearly home protection premium 25-30% with extra RM 300 more due to over insured.",1
any nice food near elmina or where you guys go for your meal?,1
i bought type A,1
GOOD FOR YOU,1
Already PMed u.,1
i see.. looks like type C quite fast,1
"Yes, finally but what is the selling price?",1
elmina wellness........only allow wellness resident to join?,1
"well, this is depends of the developer's plan, but most likely it's stands with the wellness center",1
